         88290065 function calls (88037980 primitive calls) in 34.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      222    0.000    0.000    0.002    0.000 _parser.py:94(closegroup)
      760    0.000    0.000    0.002    0.000 __init__.py:2377(_normalize_cached)
      476    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      225    0.000    0.000    0.002    0.000 <frozen ntpath>:249(dirname)
       15    0.000    0.000    0.002    0.000 parser.py:9(make_regex)
        6    0.000    0.000    0.002    0.000 enum.py:896(_convert_)
       32    0.002    0.000    0.002    0.000 {built-in method nt._getfinalpathname}
      858    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
       83    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       11    0.000    0.000    0.001    0.000 __init__.py:2361(normalize_path)
      296    0.000    0.000    0.001    0.000 typing.py:1238(__init__)
        5    0.000    0.000    0.001    0.000 __init__.py:342(__init__)
       72    0.000    0.000    0.001    0.000 __init__.py:1671(_has)
        1    0.000    0.000    0.001    0.001 _identifier.py:1(<module>)
      148    0.000    0.000    0.001    0.000 pathlib.py:484(_parse_args)
       72    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
    12412    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
      858    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.001    0.001 _distributor_init.py:1(<module>)
       72    0.000    0.000    0.001    0.000 __init__.py:400(_from_text_for)
      423    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        2    0.000    0.000    0.001    0.001 function_base.py:1(<module>)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
