+-----------------+---------+--------------+---------+----------+--------+----------+----------+
| variable        |   count |   null_count |    mean |      std |    min |      max |   median |
| courtsy         |   68846 |        67545 |       2 |        0 |      1 |        3 |        2 |
| crimimp         |   68846 |        68371 |       2 |        1 |      1 |        4 |        2 |
| criminfo        |   68846 |        68370 |       3 |        1 |      1 |        4 |        3 |
| crimfirm        |   68846 |        68377 |       3 |        1 |      1 |        4 |        4 |
| lawimp          |   68846 |        67864 |       2 |        1 |      1 |        4 |        2 |
| lawinfo         |   68846 |        67864 |       3 |        1 |      1 |        4 |        3 |
| lawfirm         |   68846 |        67879 |       3 |        1 |      1 |        4 |        3 |
| wirtap          |   68846 |        51624 |       2 |        0 |      1 |        2 |        2 |
| grass           |   68846 |        31300 |       2 |        0 |      1 |        2 |        2 |
| grassy          |   68846 |        68103 |       2 |        0 |      1 |        2 |        2 |
| relig           |   68846 |          376 |       2 |        2 |      1 |       13 |        1 |
| denom           |   68846 |        29400 |      37 |       21 |     10 |       70 |       32 |
| other           |   68846 |        60675 |      54 |       26 |      2 |      219 |       58 |
| othjew          |   68846 |        68130 |       3 |        0 |      1 |        3 |        3 |
| jew             |   68846 |        67996 |       3 |        1 |      1 |        5 |        3 |
| jewaj           |   68846 |        68834 |       4 |        1 |      2 |        4 |        4 |
| fund            |   68846 |         2833 |       2 |        1 |      1 |        3 |        2 |
| attend          |   68846 |          665 |       4 |        3 |      0 |        8 |        3 |
| maattend        |   68846 |        60687 |       5 |        3 |      0 |        8 |        7 |
| paattend        |   68846 |        61539 |       4 |        3 |      0 |        8 |        5 |
| spattend        |   68846 |        65776 |       4 |        3 |      0 |        8 |        4 |
| reliten         |   68846 |         9091 |       2 |        1 |      1 |        4 |        2 |
| relitena        |   68846 |        68834 |       2 |        0 |      2 |        2 |        2 |
| postlife        |   68846 |        26277 |       1 |        0 |      1 |        2 |        1 |
| postlf1         |   68846 |        66533 |       1 |        1 |      1 |        4 |        1 |
| postlf2         |   68846 |        66658 |       3 |        1 |      1 |        4 |        3 |
| postlf3         |   68846 |        66562 |       2 |        1 |      1 |        4 |        2 |
| postlf4         |   68846 |        66623 |       3 |        1 |      1 |        4 |        3 |
| postlf5         |   68846 |        66631 |       3 |        1 |      1 |        4 |        4 |
| postlf6         |   68846 |        66596 |       2 |        1 |      1 |        4 |        2 |
| postlf7         |   68846 |        66585 |       2 |        1 |      1 |        4 |        2 |
| postlf8         |   68846 |        66585 |       2 |        1 |      1 |        4 |        1 |
| postlf9         |   68846 |        66526 |       1 |        1 |      1 |        4 |        1 |
| postlf10        |   68846 |        66538 |       1 |        1 |      1 |        4 |        1 |
| likediff        |   68846 |        64428 |       3 |        2 |      1 |        7 |        2 |
| mindbody        |   68846 |        64407 |       3 |        2 |      1 |        7 |        3 |
